X,Y,TrafficID,IntersectionID,lat,lon,intersection,TOOLTIP,NLA_URL,Primary.Street,Cross.Street,Extra.Street,Primary.Street.Upper,Cross.Street.Upper
-118.3440722,34.08889489,1004,13347,34.08889,-118.34406,LA BREA AVE at ROMAINE ST,Location: LA BREA AVE at ROMAINE ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1004,LA BREA AVE,ROMAINE ST,,LA BREA AVE,ROMAINE ST
-118.3648622,34.08875489,1005,13352,34.08875,-118.36485,LAUREL AVE at ROMAINE ST,Location: LAUREL AVE at ROMAINE ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1005,LAUREL AVE,ROMAINE ST,,LAUREL AVE,ROMAINE ST
-118.3614522,34.08720489,1006,13360,34.0872,-118.36144,FAIRFAX AVE at WILLOUGHBY AVE,Location: FAIRFAX AVE at WILLOUGHBY AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1006,FAIRFAX AVE,WILLOUGHBY AVE,,FAIRFAX AVE,WILLOUGHBY AVE
-118.3648422,34.08716489,1007,13365,34.08716,-118.36483,LAUREL AVE at WILLOUGHBY AVE,Location: LAUREL AVE at WILLOUGHBY AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1007,LAUREL AVE,WILLOUGHBY AVE,,LAUREL AVE,WILLOUGHBY AVE
-118.3669722,34.08713489,1008,13369,34.08713,-118.36696,KILKEA DR at WILLOUGHBY AVE,Location: KILKEA DR at WILLOUGHBY AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1008,KILKEA DR,WILLOUGHBY AVE,,KILKEA DR,WILLOUGHBY AVE
-118.3627022,34.08552489,1009,13370,34.08552,-118.36269,HAYWORTH AVE at WARING AVE,Location: HAYWORTH AVE at WARING AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1009,HAYWORTH AVE,WARING AVE,,HAYWORTH AVE,WARING AVE
-118.3637722,34.08550489,1010,13372,34.0855,-118.36376,EDINBURGH AVE at WARING AVE,Location: EDINBURGH AVE at WARING AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1010,EDINBURGH AVE,WARING AVE,,EDINBURGH AVE,WARING AVE
-118.3584322,34.08538489,1011,13379,34.08538,-118.35842,GENESEE AVE at WARING AVE,Location: GENESEE AVE at WARING AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1011,GENESEE AVE,WARING AVE,,GENESEE AVE,WARING AVE
-118.3648022,34.08014489,1012,13409,34.08014,-118.36479,LAUREL AVE at ROSEWOOD AVE,Location: LAUREL AVE at ROSEWOOD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1012,LAUREL AVE,ROSEWOOD AVE,,LAUREL AVE,ROSEWOOD AVE
-118.3614522,34.07821489,1013,13428,34.07821,-118.36144,FAIRFAX AVE at OAKWOOD AVE,Location: FAIRFAX AVE at OAKWOOD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1013,FAIRFAX AVE,OAKWOOD AVE,,FAIRFAX AVE,OAKWOOD AVE
-118.3647922,34.07819489,1014,13431,34.07819,-118.36478,LAUREL AVE at OAKWOOD AVE,Location: LAUREL AVE at OAKWOOD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1014,LAUREL AVE,OAKWOOD AVE,,LAUREL AVE,OAKWOOD AVE
-118.3669122,34.07818489,1015,13433,34.07818,-118.3669,KILKEA DR at OAKWOOD AVE,Location: KILKEA DR at OAKWOOD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1015,KILKEA DR,OAKWOOD AVE,,KILKEA DR,OAKWOOD AVE
-118.3721422,34.07815489,1016,13437,34.07815,-118.37213,KINGS ROAD at OAKWOOD AVE,Location: KINGS ROAD at OAKWOOD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1016,KINGS ROAD,OAKWOOD AVE,,KINGS ROAD,OAKWOOD AVE
